WAMP,Brand,Product,Wholesaler,Package,UPC,Parent Chain,Retail $,2 for $,Market
Premium,Stella Artois Import,Stella Artois Import 1/15C,Henry J. Lee Reyes,1/16C,18200005060,Refuel Market,2.99,4.5,1 · Charleston
Premium,Stella Artois Import,Stella Artois Import 1/15C,Henry J. Lee Reyes,1/16C,18200005060,GPM Southeast,2.89,5,1 · Charleston
Premium,Stella Artois Import,Stella Artois Import 1/15C,Henry J. Lee Reyes,1/16C,18200005060,7-Eleven,2.39,4,1 · Charleston
Premium,Stella Artois Import,Stella Artois Import 1/15C,Henry J. Lee Reyes,1/16C,18200005060,Spinx,2.79,5,1 · Charleston
Premium,Stella Artois Import,Stella Artois Import 1/15C,Henry J. Lee Reyes,1/16C,18200005060,Buck Magement (Blue Water),2.99,,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,Circle K,2.79,4.5,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,Refuel Market,2.99,4.5,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,GPM Southeast,2.89,5,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,7-Eleven,2.39,4,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,Spinx,2.79,5,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,Enmark,2.79,,1 · Charleston
Premium,Corona,Corona Extra 1/16C,Henry J. Lee Reyes,1/16C,80660956886,Buck Magement (Blue Water),2.99,,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,Circle K,2.69,4.5,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,Refuel Market,2.89,4.5,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,GPM Southeast,2.89,5,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,7-Eleven,2.39,4,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,Spinx,2.79,5,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,Parkers,3.19,4,1 · Charleston
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,Enmark,2.79,,1 · Charleston
